DISPCNT write val=0x1040 at scanline=7 cyc=100850383 PC=0x800af46
DISPCNT write val=0x1140 at scanline=9 cyc=100852849 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=15 cyc=100860239 PC=0x800af46
DISPCNT write val=0x1140 at scanline=18 cyc=100863937 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=23 cyc=100870095 PC=0x800af46
DISPCNT write val=0x1140 at scanline=27 cyc=100875029 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=31 cyc=100879961 PC=0x800af46
DISPCNT write val=0x1140 at scanline=36 cyc=100886117 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=39 cyc=100889817 PC=0x800af46
DISPCNT write val=0x1140 at scanline=45 cyc=100897205 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=47 cyc=100899673 PC=0x800af46
DISPCNT write val=0x1140 at scanline=55 cyc=100909525 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=63 cyc=100919378 PC=0x800af46
DISPCNT write val=0x1140 at scanline=64 cyc=100920623 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=71 cyc=100929234 PC=0x800af46
DISPCNT write val=0x1140 at scanline=73 cyc=100931711 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=79 cyc=100939090 PC=0x800af46
DISPCNT write val=0x1140 at scanline=82 cyc=100942799 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=87 cyc=100948946 PC=0x800af46
DISPCNT write val=0x1140 at scanline=91 cyc=100953881 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=95 cyc=100958809 PC=0x800af46
DISPCNT write val=0x1140 at scanline=100 cyc=100964969 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=103 cyc=100968665 PC=0x800af46
DISPCNT write val=0x1140 at scanline=109 cyc=100976057 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=111 cyc=100978521 PC=0x800af46
DISPCNT write val=0x1140 at scanline=119 cyc=100988377 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=127 cyc=100998230 PC=0x800af46
DISPCNT write val=0x1140 at scanline=129 cyc=101000703 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=136 cyc=101009318 PC=0x800af46
DISPCNT write val=0x1140 at scanline=138 cyc=101011791 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=144 cyc=101019174 PC=0x800af46
DISPCNT write val=0x1140 at scanline=145 cyc=101020418 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=152 cyc=101029030 PC=0x800af46
DISPCNT write val=0x1140 at scanline=154 cyc=101031506 PC=0x800af7a
DISPCNT write val=0x1040 at scanline=7 cyc=101131279 PC=0x800af46
DISPCNT write val=0x1140 at scanline=9 cyc=101133745 PC=0x800af1c
DISPCNT write val=0x1040 at scanline=15 cyc=101141135 PC=0x800af46
DISPCNT write val=0x1140 at scanline=18 cyc=101144833 PC=0x800af1c
